주차장코드	주차장명	주소	주차장 종류	주차장 종류명	운영구분	운영구분명	전화번호	주차현황 정보 제공여부	주차현황 정보 제공여부명	주차 면(주차 가능 차량 수)	현재 주차중인 대수	현재 주차 차량 업데이트 시간	유무료구분	유무료구분명	야간무료개방여부	야간무료개방여부명	평일 운영 시작시각(HHMM)	평일 운영 종료시각(HHMM)	주말 운영 시작시각(HHMM)	주말 운영 종료시각(HHMM)	공휴일 운영 시작시각(HHMM)	공휴일 운영 종료시각(HHMM)	최종데이터 동기화 시간	"토요일 유,무료 구분"	"토요일 유,무료 구분명"	"공휴일 유,무료 구분"	"공휴일 유,무료 구분명"	월 정기권 금액	노상 주차장 관리그룹번호	기본 주차 요금	기본 주차 시간(분 단위)	추가 단위 요금	추가 단위 시간(분 단위)	버스 기본 주차 요금	버스 기본 주차 시간(분 단위)	버스 추가 단위 시간(분 단위)	버스 추가 단위 요금	일 최대 요금
127055	동호대교(남)(시)	강남구 압구정동 435-0	NS	노상 주차장	1	시간제 주차장	02-445-0501	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	30	8	2018-01-15 9:07	Y	유료	N	야간 미개방	900	1900	900	1900	0	0	2017-03-17 14:58	N	무료	Y	유료	0	1.16801E+12	100	5	100	5	0	0	0	0	0
1441360	역삼문화공원(구)	강남구 역삼동 635-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	59	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-05 10:57	Y	유료	Y	유료	180000		300	5	300	5	0	0	0	0	25000
173499	도곡로 327(구)	강남구 역삼동 765-22	NW	노외 주차장	1	시간제 주차장		0	미연계중	22	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-05 10:52	Y	유료	Y	유료	280000		400	5	400	5	0	0	0	0	30000
1364466	도곡로21길7(구)	강남구 역삼동 795-25	NW	노외 주차장	1	시간제 주차장		0	미연계중	78	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 10:50	N	무료	N	무료	280000		400	5	400	5	0	0	0	0	30000
1042402	역삼1동 문화센터(구)	강남구 역삼동 829-20	NW	노외 주차장	1	시간제 주차장		0	미연계중	118	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 10:51	N	무료	N	무료	280000		400	5	400	5	0	0	0	0	30000
1364468	탄천제2호(구)	강남구 일원동 4-47	NW	노외 주차장	1	시간제 주차장		0	미연계중	309	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:17	N	무료	N	무료	70000		100	5	100	5	0	0	0	0	12000
1364472	영희초교(구)	강남구 일원동 617-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	187	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 11:16	N	무료	N	무료	70000		100	5	100	5	0	0	0	0	12000
173810	일원1동(기계식)(구)	강남구 일원동 684-8	NW	노외 주차장	1	시간제 주차장		0	미연계중	64	0		Y	유료	N	야간 미개방	600	2300	0	0	0	0	2017-06-05 11:18	Y	유료	Y	유료	70000		100	5	100	5	0	0	0	0	12000
1366601	일원동(시)	강남구 일원동 711-1	NW	노외 주차장	1	시간제 주차장		0	미연계중	21	0		Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2016-12-28 10:06	N	무료	Y	유료	30000		50	5	50	5	0	0	0	0	0
173424	일원역(시)	강남구 일원동 716-2	NW	노외 주차장	1	시간제 주차장	02-445-0501	0	미연계중	67	0	2017-08-24 13:50	Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2016-12-21 12:30	N	무료	Y	유료	50000		100	5	100	5	0	0	0	0	
1366602	일원터널(시)	강남구 일원동 722-2	NW	노외 주차장	1	시간제 주차장		0	미연계중	11	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-01-13 11:01	N	무료	N	무료	50000		100	5	100	5	0	0	0	0	0
1042405	언북초교(구)	강남구 청담동 27-0	NW	노외 주차장	1	시간제 주차장		0	미연계중	226	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 10:59	N	무료	N	무료	180000		300	5	300	5	0	0	0	0	25000
1370100	강일동공영주차장(구)	강동구 강일동 292-2	NW	노외 주차장	1	시간제 주차장	02-478-6147	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	81	1685	2018-01-15 9:15	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 9:35	N	무료	N	무료	80000		150	5	150	5	0	0	0	0	
173759	온조대왕 문화체육관옆(구)	강동구 고덕동 300-0	NW	노외 주차장	1	시간제 주차장	02-428-2020	0	미연계중	25	0		Y	유료	N	야간 미개방	900	1800	900	1800	900	1800	2017-05-23 13:55	N	무료	N	무료	0		150	5	150	5	0	0	0	0	0
173750	명일동(구)	강동구 명일동 312-250	NW	노외 주차장	1	시간제 주차장	02-442-6124	0	미연계중	253	0	2018-01-10 10:18	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 9:36	N	무료	N	무료	100000		250	5	250	5	0	0	0	0	
1521439	주양쇼핑옆(구)	강동구 명일동 47-21	NS	노상 주차장	3	시간제 + 거주자 주차장		0	미연계중	45	0		Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2017-05-11 15:57	N	무료	N	무료	100000	1.17401E+12	250	5	250	5	0	0	0	0	0
1277163	명일동(시)	강동구 명일동 47-9	NW	노외 주차장	1	시간제 주차장	02-445-0501	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	11	2	2018-01-15 9:07	Y	유료	N	야간 미개방	900	2000	900	1500	0	0	2016-12-21 12:30	N	무료	Y	유료	180000		250	5	250	5	0	0	0	0	0
1522935	주양쇼핑앞(구)	강동구 명일동 51-1	NS	노상 주차장	3	시간제 + 거주자 주차장		0	미연계중	51	0		Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2017-10-30 17:56	N	무료	N	무료	100000	1.17401E+12	250	5	250	5	0	0	0	0	0
1521641	거주자우선주차장(구)	강동구 명일동 51-1	NS	노상 주차장	3	시간제 + 거주자 주차장		0	미연계중	51	0		Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2016-12-21 14:19	N	무료	N	무료	100000	1.17401E+12	250	5	250	5	0	0	0	0	0
173874	안말(구)	강동구 성내동 512-0	NW	노외 주차장	1	시간제 주차장	02-482-3194	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	174	832	2018-01-15 9:15	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-05-23 13:56	N	무료	N	무료	90000		150	5	150	5	0	0	0	0	
1567464	거주자우선주차장(구)	강동구 성내동 540-0 	NS	노상 주차장	3	시간제 + 거주자 주차장		0	미연계중	32	0		Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2016-12-21 14:49	N	무료	N	무료	100000	1.17401E+12	250	5	250	5	0	0	0	0	0
1247675	암사1동(구)	강동구 암사동 59-2	NW	노외 주차장	1	시간제 주차장	02-428-2431	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	112	920	2018-01-15 9:15	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 9:34	N	무료	N	무료	80000		150	5	150	5	0	0	0	0	
173740	천호3동(구)	강동구 천호동 167-195	NW	노외 주차장	1	시간제 주차장	02-472-0066	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	189	2015	2018-01-15 9:15	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 9:30	N	무료	N	무료	80000		150	5	150	5	0	0	0	0	0
173686	천호1동(구)	강동구 천호동 221-3	NW	노외 주차장	1	시간제 주차장	02-487-0073	0	미연계중	192	0	2018-01-11 15:57	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 9:25	N	무료	N	무료	90000		150	5	150	5	0	0	0	0	
1576344	고분다리 전통시장 공영주차장(구)	강동구 천호동 280-9	NW	노외 주차장	1	시간제 주차장		0	미연계중	26	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 9:38	N	무료	N	무료	85000		150	5	150	5	0	0	0	0	
173591	천호유수지 주차장(구)	강동구 천호동 329-0	NW	노외 주차장	1	시간제 주차장	02-478-6147	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	178	1775	2018-01-15 9:15	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 9:24	N	무료	N	무료	70000		100	5	100	5	0	0	0	0	0
173691	해공공영주차장(구)	강동구 천호동 404-1	NW	노외 주차장	1	시간제 주차장	02-478-6147	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	342	2858	2018-01-15 9:15	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 9:23	N	무료	N	무료	98000		150	5	150	5	0	0	0	0	
1519247	천호2동제2(구)	강동구 천호동 431-2 	NS	노상 주차장	1	시간제 주차장		0	미연계중	5	0		Y	유료	N	야간 미개방	900	2000	900	2000	900	2000	2017-05-11 15:05	N	무료	N	무료	0	1.17401E+12	250	5	0	0	0	0	0	0	0
173867	천호역(시)	강동구 천호동 455-0	NW	노외 주차장	1	시간제 주차장	02-2290-6201	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	1436	1084	2018-01-15 9:16	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-12-06 11:07	N	무료	N	무료	100000		150	5	150	5	0	0	0	0	0
1247641	천호2동노외주차장(구)	강동구 천호동 457-7	NW	노외 주차장	1	시간제 주차장	02-478-6147	0	미연계중	13	0		Y	유료	N	야간 미개방	900	2000	900	2000	900	2000	2017-06-05 9:29	N	무료	N	무료	0		250	5	250	5	0	0	0	0	0
172563	오패산공영주차장(구)	강북구 미아동 133-100	NW	노외 주차장	1	시간제 주차장	02-944-3041	0	미연계중	76	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 11:09	N	무료	N	무료	60000		150	5	150	5	0	0	0	0	10000
1366794	미아동공영주차장(구)	강북구 미아동 222-100	NW	노외 주차장	1	시간제 주차장	02-944-3048	0	미연계중	155	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 10:55	N	무료	N	무료	80000		150	5	150	5	0	0	0	0	10000
1366791	송천동공영주차장(구)	강북구 미아동 439-138	NW	노외 주차장	1	시간제 주차장	02-944-3039	0	미연계중	59	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 11:15	N	무료	N	무료	60000		150	5	150	5	0	0	0	0	10000
1576509	도봉로15길(시)	강북구 미아동 458-7	NS	노상 주차장	1	시간제 주차장	02-2648-8292	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	21	7	2018-01-15 9:15	Y	유료	N	야간 미개방	900	1800	0	0	0	0	2017-07-18 9:41	Y	유료	Y	유료	0	1.13051E+12	150	5	150	5	0	0	0	0	0
172550	송중동 공영주차장(구)	강북구 미아동 48-1	NW	노외 주차장	1	시간제 주차장	02-944-3038	0	미연계중	53	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 10:42	N	무료	N	무료	100000		200	5	200	5	0	0	0	0	10000
172530	대지시장길 공영주차장(구)	강북구 미아동 703-8	NW	노외 주차장	1	시간제 주차장	02-944-3035	0	미연계중	47	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 11:12	N	무료	N	무료	100000		200	5	200	5	0	0	0	0	10000
968503	삼양마을공원지하 공영주차장(구)	강북구 미아동 748-2	NW	노외 주차장	1	시간제 주차장	02-944-3047	0	미연계중	95	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 11:14	N	무료	N	무료	100000		200	5	200	5	0	0	0	0	10000
172564	냉천길 공영주차장(구)	강북구 미아동 756-1	NW	노외 주차장	1	시간제 주차장	02-944-3040	0	미연계중	103	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 11:08	N	무료	N	무료	100000		200	5	200	5	0	0	0	0	10000
1034345	송중동(임시)공영주차장(구)	강북구 미아동 860-123	NW	노외 주차장	1	시간제 주차장	02-988-1283	0	미연계중	6	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-08-25 14:54	N	무료	N	무료	100000		200	5	200	5	0	0	0	0	10000
1370637	번동 햇살 주차장(구)	강북구 번동 148-380	NW	노외 주차장	1	시간제 주차장	02-944-3044	0	미연계중	187	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 10:56	N	무료	N	무료	60000		150	5	150	5	0	0	0	0	10000
172580	인수동 공영주차장(구)	강북구 수유동 126-0	NW	노외 주차장	1	시간제 주차장	02-944-3045	0	미연계중	89	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 10:51	N	무료	N	무료	100000		200	5	200	5	0	0	0	0	10000
172562	시범 공영주차장(구)	강북구 수유동 190-11	NW	노외 주차장	1	시간제 주차장	02-944-3029	0	미연계중	45	0		Y	유료	N	야간 미개방	800	2200	800	2200	900	1800	2017-06-02 10:44	N	무료	N	무료			250	5	250	5	0	0	0	0	15000
968483	가오리 공영주차장(구)	강북구 수유동 349-3	NW	노외 주차장	1	시간제 주차장	02-944-3046	0	미연계중	120	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 11:16	N	무료	N	무료	60000		150	5	150	5	0	0	0	0	10000
968514	색동공원 공영주차장(구)	강북구 수유동 49-7	NW	노외 주차장	1	시간제 주차장	02-985-3492	0	미연계중	80	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-05 13:45	N	무료	N	무료	100000		200	5	200	5	0	0	0	0	10000
1439690	수유마을시장 공영주차장(구)	강북구 수유동 55-53	NW	노외 주차장	1	시간제 주차장	02-944-3053	0	미연계중	116	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 10:59	N	무료	N	무료	80000		100	5	100	5	0	0	0	0	10000
1366792	수유일공원공영주차장(구)	강북구 수유동 605-407	NW	노외 주차장	1	시간제 주차장	02-944-3042	0	미연계중	91	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 11:11	N	무료	N	무료	100000		200	5	200	5	0	0	0	0	10000
1366795	수유동쌈지마당공영주차장(구)	강북구 수유동 612-6	NW	노외 주차장	1	시간제 주차장	010-2977-0759	0	미연계중	19	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 11:28	N	무료	N	무료	150000		250	5	250	5	0	0	0	0	15000
1034344	수유2동 공영주차장(구)	강북구 수유동 660-30	NW	노외 주차장	1	시간제 주차장	02-900-7443	0	미연계중	62	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 11:24	N	무료	N	무료	60000		150	5	150	5	0	0	0	0	10000
172594	교통광장 공영주차장(구)	강북구 우이동 265-0	NW	노외 주차장	1	시간제 주차장	02-944-3027	0	미연계중	56	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-06-02 10:53	N	무료	N	무료	100000		200	5	200	5	0	0	0	0	10000
1576703	가양라이품주차장(시)	강서구 가양동 1457-1	NW	노외 주차장	1	시간제 주차장	02-2290-6144	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	39	21	2018-01-15 9:15	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2018-01-02 9:11	N	무료	N	무료	0		100	5	100	5	0	0	0	0	0
173047	영보빌딩(시)	강서구 가양동 1480-10	NW	노외 주차장	1	시간제 주차장	02-2642-6209	0	미연계중	79	0	2017-08-11 10:15	Y	유료	N	야간 미개방	800	2100	800	2100	800	2100	2017-01-25 16:47	N	무료	N	무료	100000		150	5	150	5	0	0	0	0	0
1504317	가양3동 황금내공원길(구)	강서구 가양동 1485-0 	NS	노상 주차장	1	시간제 주차장	02-2607-9113	0	미연계중	80	0		Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2016-12-21 14:09	N	무료	Y	유료	50000	1.15001E+12	100	5	100	5	0	0	0	0	5000
173005	가양3동 노외주차장(시)	강서구 가양동 1488-12	NW	노외 주차장	1	시간제 주차장	02-2642-6209	0	미연계중	54	0	2017-08-24 13:53	Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2017-01-25 16:46	N	무료	Y	유료	100000		150	5	150	5	0	0	0	0	0
1366576	개화역 환승주차장(시)	강서구 개화동 663-0	NW	노외 주차장	1	시간제 주차장	02-2663-6449	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	387	327	2018-01-15 9:14	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-01-13 10:50	N	무료	N	무료	65000		100	5	100	5	0	0	0	0	0
173001	공항동(송정역)(시)	강서구 공항동 42-8	NW	노외 주차장	1	시간제 주차장		0	미연계중	11	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2016-12-28 10:02	N	무료	N	무료	100000		150	5	150	5	0	0	0	0	0
1504636	방화로(시)	강서구 공항동 796-0 	NS	노상 주차장	1	시간제 주차장		1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	62	6	2018-01-15 9:14	Y	유료	N	야간 미개방	900	1800	0	0	0	0	2017-03-15 9:29	Y	유료	Y	유료	0	1.15001E+12	100	5	100	5	0	0	0	0	0
1384008	송화골목 전통시장 고객주차장(구)	강서구 내발산동 720-4	NW	노외 주차장	1	시간제 주차장	02-2696-5225	0	미연계중	24	0		Y	유료	N	야간 미개방	1000	2100	1000	2100	0	0	2017-05-24 10:05	N	무료	Y	유료	60000		250	5	250	5	0	0	0	0	0
172957	등촌 2-1주택가공영주차장(구)	강서구 등촌동 531-5	NW	노외 주차장	1	시간제 주차장	02-2645-1578	0	미연계중	91	0		Y	유료	N	야간 미개방	900	1900	0	0	0	0	2017-06-02 14:53	Y	유료	Y	유료	50000		50	5	50	5	0	0	0	0	2000
1504286	등촌3동 구암길(구)	강서구 등촌동 695-0	NS	노상 주차장	1	시간제 주차장	02-2607-9113	0	미연계중	52	0		Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2016-12-26 0:37	N	무료	Y	유료	120000	1.15001E+12	250	5	250	5	0	0	0	0	10000
1504251	등촌3동 꿈나무길(구)	강서구 등촌동 701-0 	NS	노상 주차장	1	시간제 주차장	02-2607-9113	0	미연계중	59	0		Y	유료	N	야간 미개방	900	1900	900	1500	0	0	2016-12-21 14:09	N	무료	Y	유료	120000	1.15001E+12	250	5	250	5	0	0	0	0	10000
1575751	신방화역환승주차장(시)	강서구 마곡동 731-103	NW	노외 주차장	1	시간제 주차장	02-3405-4581	1	현재~20분이내 연계데이터 존재(현재 주차대수 표현)	200	127	2018-01-15 9:15	Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2017-03-10 17:57	N	무료	N	무료	65000		100	5	100	5	0	0	0	0	
1277148	개화산역(시)	강서구 방화동 526-16	NW	노외 주차장	1	시간제 주차장		0	미연계중	310	0		Y	유료	N	야간 미개방	0	2400	0	2400	0	2400	2016-12-21 12:31	N	무료	N	무료	50000		100	5	100	5					0
172970	방화역(서)(시)	강서구 방화동 829-1	NW	노외 주차장	1	시간제 주차장	02-2642-6209	0	미연계중	66	0		Y	유료	N	야간 미개방	900	2200	900	2200	800	2100	2017-09-30 23:40	N	무료	N	무료	65000		100	5	100	5	0	0	0	0	0
172971	방화역(동)(시)	강서구 방화동 830-4	NW	노외 주차장	1	시간제 주차장	02-2642-6209	0	미연계중	66	0		Y	유료	N	야간 미개방	800	2100	800	2100	800	2100	2017-09-30 23:40	N	무료	N	무료	65000		100	5	100	5	0	0	0	0	0
